timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/11 04:58:16.865, 0, 78.36 W, 37, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:16.875, 1, 79.29 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:16.878, 2, 76.46 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:16.880, 3, 76.52 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:16.883, 4, 79.22 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:16.885, 5, 78.58 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:16.888, 6, 77.29 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:16.890, 7, 77.57 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:17.893, 0, 78.38 W, 37, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:17.893, 1, 79.11 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:17.893, 2, 76.45 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:17.893, 3, 76.52 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:17.893, 4, 79.25 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:17.893, 5, 78.56 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:17.893, 6, 77.19 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:17.893, 7, 77.58 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:18.893, 0, 78.42 W, 37, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:18.893, 1, 79.09 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:18.893, 2, 76.36 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:18.893, 3, 76.56 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:18.893, 4, 79.24 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:18.893, 5, 78.53 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:18.893, 6, 77.28 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:18.893, 7, 77.55 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:19.893, 0, 78.41 W, 37, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:19.893, 1, 79.08 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:19.893, 2, 76.40 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:19.893, 3, 76.54 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:19.893, 4, 79.15 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:19.893, 5, 78.49 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:19.893, 6, 77.27 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:19.893, 7, 77.57 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:20.894, 0, 78.24 W, 37, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:20.894, 1, 79.09 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:20.894, 2, 76.39 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:20.894, 3, 76.52 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:20.894, 4, 79.18 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:20.894, 5, 78.49 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:20.894, 6, 77.17 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:20.894, 7, 77.58 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:21.894, 0, 78.18 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:21.894, 1, 79.08 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:21.894, 2, 76.32 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:21.894, 3, 76.50 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:21.894, 4, 79.07 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:21.894, 5, 78.50 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:21.894, 6, 77.14 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:21.894, 7, 77.50 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:22.894, 0, 78.23 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:22.894, 1, 79.06 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:22.894, 2, 76.28 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:22.894, 3, 76.45 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:22.894, 4, 79.16 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:22.894, 5, 78.53 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:22.894, 6, 77.07 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:22.894, 7, 77.47 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:23.894, 0, 78.25 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:23.894, 1, 79.05 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:23.894, 2, 76.24 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:23.894, 3, 76.45 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:23.894, 4, 79.08 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:23.894, 5, 78.51 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:23.895, 6, 77.02 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:23.895, 7, 77.51 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:24.895, 0, 78.25 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:24.895, 1, 79.03 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:24.895, 2, 76.21 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:24.895, 3, 76.43 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:24.895, 4, 79.04 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:24.895, 5, 78.51 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:24.895, 6, 77.08 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:24.895, 7, 77.51 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:25.895, 0, 78.18 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:25.895, 1, 79.05 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:25.895, 2, 76.18 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:25.895, 3, 76.48 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:25.895, 4, 79.03 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:25.895, 5, 78.42 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:25.895, 6, 77.03 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:25.895, 7, 77.48 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:26.895, 0, 78.04 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:26.895, 1, 79.03 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:26.895, 2, 76.17 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:26.895, 3, 76.46 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:26.895, 4, 78.93 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:26.895, 5, 78.42 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:26.895, 6, 76.99 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:26.895, 7, 77.50 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:27.896, 0, 78.03 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:27.896, 1, 79.08 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:27.896, 2, 76.19 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:27.896, 3, 76.46 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:27.896, 4, 79.04 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:27.896, 5, 78.44 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:27.896, 6, 76.92 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:27.896, 7, 77.49 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:28.896, 0, 78.03 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:28.896, 1, 79.00 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:28.896, 2, 76.16 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:28.896, 3, 76.46 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:28.896, 4, 78.99 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:28.896, 5, 78.45 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:28.896, 6, 76.92 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:28.896, 7, 77.41 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:29.896, 0, 78.04 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:29.896, 1, 78.99 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:29.896, 2, 76.12 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:29.896, 3, 76.42 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:29.896, 4, 78.96 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:29.897, 5, 78.56 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:29.897, 6, 77.86 W, 35, 795 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:29.897, 7, 77.42 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:30.897, 0, 78.08 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:30.897, 1, 78.94 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:30.897, 2, 76.06 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:30.897, 3, 76.40 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:30.897, 4, 78.93 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:30.897, 5, 78.42 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:30.897, 6, 79.85 W, 35, 795 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:30.897, 7, 77.51 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:31.897, 0, 78.05 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:31.897, 1, 78.94 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:31.897, 2, 76.08 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:31.897, 3, 76.42 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:31.897, 4, 79.29 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:58:31.897, 5, 78.38 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
