timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/11 04:55:22.666, 3, 75.09 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:22.666, 4, 77.71 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:22.666, 5, 77.27 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:22.666, 6, 77.44 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:22.666, 7, 76.96 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:23.667, 0, 77.12 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:23.667, 1, 76.39 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:23.667, 2, 77.45 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:23.667, 3, 75.06 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:23.667, 4, 77.68 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:23.667, 5, 77.22 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:23.667, 6, 77.39 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:23.667, 7, 76.78 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:24.667, 0, 77.08 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:24.667, 1, 76.42 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:24.667, 2, 77.36 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:24.667, 3, 75.04 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:24.667, 4, 77.70 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:24.667, 5, 77.18 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:24.667, 6, 77.36 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:24.667, 7, 76.76 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:25.667, 0, 77.03 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
