timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/10 20:34:26.165, 0, 76.10 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:26.225, 1, 75.72 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:26.228, 2, 76.84 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:26.230, 3, 74.98 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:26.233, 4, 76.48 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:26.235, 5, 76.55 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:26.238, 6, 75.73 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:26.240, 7, 76.11 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:27.243, 0, 76.14 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:27.243, 1, 75.77 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:27.243, 2, 76.83 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:27.243, 3, 74.95 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:27.243, 4, 76.49 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:27.243, 5, 76.57 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:27.243, 6, 75.73 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:27.243, 7, 76.13 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:28.243, 0, 76.12 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:28.243, 1, 75.71 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:28.243, 2, 76.64 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:28.243, 3, 74.92 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:28.243, 4, 76.51 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:28.243, 5, 76.54 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:28.243, 6, 75.69 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:28.243, 7, 76.09 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:29.244, 0, 76.08 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:29.244, 1, 75.79 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:29.244, 2, 76.87 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:29.244, 3, 74.96 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:29.244, 4, 76.43 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 20:34:29.244, 5, 76.51 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
